Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
WZZ,219660.000000,0.055650,6999.500000,0.001773,219660.000000,218984.000000,21974.000000,17040.000000,266.000000,99.432465,99.432465,84.436241,73.880943,52.613003,32.998547,10.400845
WMinusHToTauTau,3442926.000000,0.033400,6999.500000,0.000068,3442926.000000,3436685.000000,341778.000000,233797.000000,25745.000000,11448.233398,11448.233398,10095.502930,9349.387695,4455.700684,3385.491455,759.757202
WpWpJJ_EWK_QCD,148394.000000,0.026150,6999.500000,0.001233,148394.000000,147726.000000,42905.000000,32735.000000,691.000000,41.590050,41.590050,26.017260,24.121552,17.152697,7.753800,3.449077
WPlusHToTauTau,3777578.000000,0.052000,6999.500000,0.000096,3777578.000000,3770072.000000,377609.000000,254267.000000,26285.000000,11729.219727,11729.219727,10380.095703,9630.663086,4765.565430,3564.764648,909.373352
ZHToTauTau,4652054.000000,0.055427,6999.500000,0.000083,4652054.000000,4643296.000000,364109.000000,249509.000000,23326.000000,11494.205078,11494.205078,10588.661133,9011.779297,4836.663574,3998.988770,1219.929932
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,6999.500000,0.086612,22702468.000000,22686184.000000,2926.000000,501.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,6999.500000,0.006017,334332.000000,323647.000000,152.000000,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,6999.500000,0.025138,21618510.000000,21592994.000000,4355.000000,769.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,6999.500000,0.007528,6446.000000,5906.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,6999.500000,0.008212,9094890.000000,9066725.000000,2578.000000,535.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,6999.500000,0.003165,5664642.000000,5627442.000000,2006.000000,474.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,6999.500000,0.004038,2041779.000000,2014718.000000,774.000000,190.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,6999.500000,0.001268,17768294.000000,17747844.000000,2706827.000000,1993814.000000,10728.000000,5061.604004,5061.604004,5025.825684,3995.014404,2053.900635,1746.578491,271.085327
ZZTo4L,86103680.000000,1.212000,6999.500000,0.000099,86103680.000000,86029168.000000,10154386.000000,6515053.000000,148416.000000,54822.121094,54822.121094,47779.304688,44828.148438,18183.447266,11172.691406,677.339417
ZZTo4L,10994317.000000,1.212000,6999.500000,0.000772,10994317.000000,10984736.000000,1297299.000000,832832.000000,18951.000000,6866.098145,6866.098145,5994.571289,5640.522949,2293.620117,1406.759644,89.603867
ZZZ,213514.000000,0.013980,6999.500000,0.000458,213514.000000,213085.000000,17164.000000,13681.000000,187.000000,79.591934,79.591934,72.584518,58.927090,34.595901,21.206596,4.997616
