Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
ST_tW_antitop,7721566.000000,35.600000,10380.250000,0.053773,7721566.000000,7710690.000000,792361.000000,601085.812500,11722.860352,8235.471680,8234.667969,8046.394531,2650.652588,2087.894775,1104.339966,639.132202
ST_tW_top,7523294.000000,35.600000,10380.250000,0.055190,7523294.000000,7512649.000000,773198.000000,586498.312500,11503.783203,8076.344727,8075.550293,7877.166992,2548.394287,2027.263306,1070.609741,615.625061
VBFHToTauTau,2971508.000000,0.237131,10380.250000,0.000931,2971508.000000,2965823.000000,173892.000000,115922.984375,17561.744141,13240.041992,13240.041992,13165.303711,12155.905273,3160.924072,1687.652832,1678.099365
WWTo2L2Nu,15934.000000,12.178000,10380.250000,8.913925,15934.000000,15915.000000,3510.000000,2158.457031,66.581657,50.623249,50.623249,50.623249,46.584164,34.124443,9.062458,3.925772
WWToLNuQQ,9956583.000000,10.710000,10380.250000,0.012546,9956583.000000,9946013.000000,1175684.000000,763560.250000,5945.315430,3569.470703,3569.470703,3560.113281,3284.671143,2452.407715,956.806824,698.968994
WWW,210490.000000,0.208600,10380.250000,0.011558,210490.000000,209914.000000,29265.000000,21428.369141,673.535889,365.540619,365.540619,321.215790,288.665131,222.332047,147.210846,73.664680
WWZ,221622.000000,0.165100,10380.250000,0.008689,221622.000000,220847.000000,28656.000000,21810.683594,660.486145,374.515930,374.515930,336.289429,266.376953,200.544357,135.786163,67.025299
WZTo1L1Nu2Q,11263154.000000,10.710000,10380.250000,0.011090,11263154.000000,11248929.000000,1370224.000000,917539.125000,6287.549316,2744.509277,2744.509277,2728.264893,2210.195068,1560.492065,712.464478,505.856018
WZTo2L2Q,16664610.000000,5.595000,10380.250000,0.003916,16664610.000000,16643809.000000,2269819.000000,1662076.875000,18781.919922,9913.226562,9913.226562,9865.474609,8886.400391,3716.721191,2164.345459,1704.813843
WZTo3LNu,6820606.000000,4.430000,10380.250000,0.007575,6820606.000000,6813277.000000,1011710.000000,703169.812500,31819.531250,13162.691406,13162.691406,11745.453125,10961.493164,8453.547852,4169.607422,2283.941895
WZZ,219660.000000,0.055650,10380.250000,0.002955,219660.000000,218984.000000,21974.000000,16832.738281,506.225189,219.971954,219.971954,190.257614,157.633987,112.725250,80.483810,44.083149
WMinusHToTauTau,3442926.000000,0.033400,10380.250000,0.000113,3442926.000000,3436685.000000,341778.000000,232382.468750,51988.906250,26142.638672,26142.638672,22926.699219,20997.421875,12322.288086,5810.647461,3941.579590
WPlusHToTauTau,3777578.000000,0.052000,10380.250000,0.000161,3777578.000000,3770072.000000,377609.000000,252404.937500,53922.355469,27225.773438,27225.773438,23886.886719,21895.115234,12666.843750,6223.257324,4081.554688
ZHToTauTau,4652054.000000,0.055427,10380.250000,0.000139,4652054.000000,4643296.000000,364109.000000,247407.531250,48034.644531,26940.933594,26940.933594,24745.550781,20698.210938,11944.947266,6422.284180,4817.072754
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,10380.250000,0.144320,22702468.000000,22686184.000000,2926.000000,496.786652,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,10380.250000,0.010026,334332.000000,323647.000000,152.000000,43.182495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,10380.250000,0.041887,21618510.000000,21592994.000000,4355.000000,760.310120,6.000000,0.785742,0.785742,0.785742,0.785742,0.785742,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,10380.250000,0.012544,6446.000000,5906.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,10380.250000,0.013684,9094890.000000,9066725.000000,2578.000000,523.884338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,10380.250000,0.005273,5664642.000000,5627442.000000,2006.000000,463.681732,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,10380.250000,0.006728,2041779.000000,2014718.000000,774.000000,185.446442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,10380.250000,0.002114,17768294.000000,17747844.000000,2706827.000000,1972306.125000,21422.759766,11064.079102,11064.079102,10985.615234,8618.088867,3669.089355,1901.233521,1489.442749
ZZTo4L,86103680.000000,1.212000,10380.250000,0.000164,86103680.000000,86029168.000000,10154386.000000,6434006.000000,294700.250000,121632.679688,121631.867188,105224.039062,97517.007812,66418.093750,28914.005859,15886.730469
ZZTo4L,10994317.000000,1.212000,10380.250000,0.001286,10994317.000000,10984736.000000,1297299.000000,822509.125000,37938.371094,15469.235352,15469.235352,13363.799805,12407.576172,8441.288086,3711.287598,2044.017456
ZZZ,213514.000000,0.013980,10380.250000,0.000764,213514.000000,213085.000000,17164.000000,13507.471680,368.934479,179.005768,179.005768,158.466003,127.133881,90.996948,58.744347,30.354809
VBFHToWWTo2L2Nu,499278.000000,0.085800,10380.250000,0.002004,499278.000000,498740.000000,81410.000000,55490.296875,1432.954712,1028.273315,1028.273315,989.916992,910.447388,496.030914,416.821014,412.809052
WWTo2L2Nu_DoubleScattering,968000.000000,1.620000,10380.250000,0.019519,968000.000000,967414.000000,118516.000000,48160.500000,784.770081,313.644226,313.644226,299.698517,282.805115,224.649506,84.744537,67.424065
WZTo1L3Nu,2681223.000000,3.050000,10380.250000,0.013267,2681223.000000,2678565.000000,331309.000000,223577.625000,448.562805,235.637024,235.637024,237.000259,222.647324,193.590179,120.779083,74.528633
WpWpJJ_EWK,144938.000000,0.026150,10380.250000,0.002104,144938.000000,144433.000000,45467.000000,34986.613281,1667.392822,83.232780,83.232780,58.848335,50.024433,38.159630,28.600248,11.539306
WpWpJJ_QCD,149484.000000,0.026150,10380.250000,0.002040,149484.000000,148856.000000,38490.000000,27502.740234,990.537354,83.913887,83.913887,64.493614,59.919033,45.187675,30.843781,12.230307
ZZTo2Q2Nu,36986756.000000,4.030000,10380.250000,0.001271,36986756.000000,36955536.000000,5614.000000,1014.289368,9.006198,4.634852,4.634852,4.634852,4.634852,3.144773,0.855476,0.000000
ZZTo2Q2Nu,2251465.000000,4.030000,10380.250000,0.020876,2251465.000000,2249497.000000,336.000000,49.822819,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
