Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
WZTo1L1Nu2Q,11263154.000000,10.710000,41521.000000,0.039482,11263154.000000,11248929.000000,1370224.000000,923762.000000,2758.402100,2758.402100,2741.811035,2222.354980,1568.075806,717.377991,508.270691,54.024052
WZTo2L2Q,16664610.000000,5.595000,41521.000000,0.013940,16664610.000000,16643809.000000,2269819.000000,1682107.000000,9998.606445,9998.606445,9950.202148,8963.269531,3743.799561,2182.047363,1717.195068,143.016022
WZTo3LNu,6820606.000000,4.430000,41521.000000,0.026968,6820606.000000,6813277.000000,1011710.000000,712061.000000,13281.161133,13281.161133,11854.557617,11060.136719,8528.047852,4212.323242,2306.040527,579.520630
WZZ,219660.000000,0.055650,41521.000000,0.010519,219660.000000,218984.000000,21974.000000,17040.000000,223.000107,223.000107,192.833633,159.708878,114.090675,81.254761,44.326714,16.149240
WMinusHToTauTau,3442926.000000,0.033400,41521.000000,0.000403,3442926.000000,3436685.000000,341778.000000,233797.000000,26258.041016,26258.041016,23032.000000,21095.150391,12377.870117,5841.093750,3963.622314,713.096252
WPlusHToTauTau,3777578.000000,0.052000,41521.000000,0.000572,3777578.000000,3770072.000000,377609.000000,254267.000000,27360.865234,27360.865234,24009.595703,22008.191406,12727.055664,6259.230957,4108.503418,832.370239
ZHToTauTau,4652054.000000,0.055427,41521.000000,0.000495,4652054.000000,4643296.000000,364109.000000,249509.000000,27114.990234,27114.990234,24907.128906,20835.251953,12025.738281,6464.488281,4845.749023,1507.040894
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,41521.000000,0.513780,22702468.000000,22686184.000000,2926.000000,501.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,41521.000000,0.035692,334332.000000,323647.000000,152.000000,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,41521.000000,0.149117,21618510.000000,21592994.000000,4355.000000,769.000000,0.785742,0.785742,0.785742,0.785742,0.785742,0.000000,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,41521.000000,0.044658,6446.000000,5906.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,41521.000000,0.048716,9094890.000000,9066725.000000,2578.000000,535.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,41521.000000,0.018772,5664642.000000,5627442.000000,2006.000000,474.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,41521.000000,0.023951,2041779.000000,2014718.000000,774.000000,190.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,41521.000000,0.007525,17768294.000000,17747844.000000,2706827.000000,1993814.000000,11144.763672,11144.763672,11065.589844,8683.112305,3698.452637,1917.958740,1502.672119,76.503769
ZZTo4L,86103680.000000,1.212000,41521.000000,0.000584,86103680.000000,86029168.000000,10154386.000000,6515053.000000,122728.617188,122727.804688,106199.023438,98413.140625,67018.617188,29188.677734,16024.966797,1057.269409
ZZTo4L,10994317.000000,1.212000,41521.000000,0.004577,10994317.000000,10984736.000000,1297299.000000,832832.000000,15610.167969,15610.167969,13490.962891,12524.766602,8516.431641,3746.624268,2063.168213,134.849609
ZZZ,213514.000000,0.013980,41521.000000,0.002719,213514.000000,213085.000000,17164.000000,13681.000000,180.130188,180.130188,159.459503,128.034424,91.382462,59.028461,30.460768,1.694210
VBFHToWWTo2L2Nu,499278.000000,0.085800,41521.000000,0.007135,499278.000000,498740.000000,81410.000000,56201.000000,1043.722412,1043.722412,1005.015076,924.103821,502.965179,422.991364,418.979401,96.171417
WWTo2L2Nu_DoubleScattering,968000.000000,1.620000,41521.000000,0.069488,968000.000000,967414.000000,118516.000000,48478.000000,314.787964,314.787964,300.824493,283.917145,225.636032,85.222466,67.684319,8.181048
WZTo1L3Nu,2681223.000000,3.050000,41521.000000,0.047232,2681223.000000,2678565.000000,331309.000000,224712.000000,236.699768,236.699768,238.160049,223.761627,194.526917,121.479202,74.828323,31.349949
WpWpJJ_EWK,144938.000000,0.026150,41521.000000,0.007491,144938.000000,144433.000000,45467.000000,36044.000000,85.028046,85.028046,59.562225,50.640984,38.653023,28.729881,11.545433,2.233911
WpWpJJ_QCD,149484.000000,0.026150,41521.000000,0.007263,149484.000000,148856.000000,38490.000000,27957.000000,87.767151,87.767151,67.868195,63.059361,47.931244,32.852631,12.979910,3.789840
ZZTo2Q2Nu,36986756.000000,4.030000,41521.000000,0.004524,36986756.000000,36955536.000000,5614.000000,1022.000000,4.634852,4.634852,4.634852,4.634852,3.144773,0.855476,0.000000,0.000000
ZZTo2Q2Nu,2251465.000000,4.030000,41521.000000,0.074320,2251465.000000,2249497.000000,336.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
