Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
WpWpJJ_EWK_QCD,148394.000000,0.026150,3380.500000,0.000596,148394.000000,147726.000000,53740.000000,49320.000000,1270.000000,100.054001,100.054001,64.971725,58.982151,34.342384,13.719618,7.714290
WPlusHToTauTau,3777578.000000,0.052000,3380.500000,0.000047,3777578.000000,3770072.000000,524111.000000,453024.000000,51702.000000,29056.193359,29056.193359,25717.189453,23825.642578,9585.129883,7634.515625,1907.463623
ZHToTauTau,4652054.000000,0.055427,3380.500000,0.000040,4652054.000000,4643296.000000,506100.000000,433881.000000,44003.000000,28345.191406,28345.191406,26168.320312,22167.408203,9519.283203,8218.280273,2373.265381
ZJetsToNuNu_HT100To200,22702468.000000,280.920000,3380.500000,0.041830,22702468.000000,22686184.000000,2407.000000,506.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT1200To2500,334332.000000,0.287400,3380.500000,0.002906,334332.000000,323647.000000,213.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT200To400,21618510.000000,77.640000,3380.500000,0.012141,21618510.000000,21592994.000000,3849.000000,757.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT2500ToInf,6446.000000,0.006933,3380.500000,0.003636,6446.000000,5906.000000,5.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT400To600,9094890.000000,10.671000,3380.500000,0.003966,9094890.000000,9066725.000000,2431.000000,374.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT600To800,5664642.000000,2.561100,3380.500000,0.001528,5664642.000000,5627442.000000,1956.000000,249.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZJetsToNuNu_HT800To1200,2041779.000000,1.177800,3380.500000,0.001950,2041779.000000,2014718.000000,886.000000,86.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
ZZTo2L2Q,17768294.000000,3.220000,3380.500000,0.000613,17768294.000000,17747844.000000,3293444.000000,3076183.000000,21408.000000,12964.319336,12964.319336,12821.668945,10104.162109,3889.032959,3449.921387,573.863403
ZZTo4L,86103680.000000,1.212000,3380.500000,0.000048,86103680.000000,86029168.000000,14804674.000000,13117106.000000,280799.000000,128239.875000,128239.875000,108949.429688,102672.335938,32743.669922,20931.839844,1257.225586
ZZTo4L,10994317.000000,1.212000,3380.500000,0.000373,10994317.000000,10984736.000000,1888166.000000,1672898.000000,35893.000000,16273.426758,16273.426758,13823.043945,13042.823242,4170.221191,2676.724365,158.037598
ZZZ,213514.000000,0.013980,3380.500000,0.000221,213514.000000,213085.000000,19404.000000,18408.000000,318.000000,172.227829,172.227829,155.115921,108.983139,61.036999,44.630432,14.578259
