Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,792361.000000,604444.000000,6168.000000,5555.000000,5555.000000,5466.000000,1832.000000,910.000000,549.000000,470.000000
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,773198.000000,589804.000000,6098.000000,5491.000000,5491.000000,5394.000000,1778.000000,878.000000,510.000000,437.000000
TTJets,24686754.000000,831.760000,41521.000000,1.398949,24686754.000000,24652878.000000,2422377.000000,1793911.000000,18041.000000,15888.000000,15888.000000,15490.000000,2618.000000,1443.000000,933.000000,735.000000
TTJets,24944860.000000,831.760000,41521.000000,1.384474,24944860.000000,24911234.000000,2448171.000000,1815177.000000,17957.000000,15656.000000,15656.000000,15184.000000,2746.000000,1456.000000,927.000000,749.000000
TTJets,7674104.000000,831.760000,41521.000000,4.500266,7674104.000000,7663805.000000,754355.000000,558905.000000,5753.000000,5139.000000,5139.000000,5035.000000,895.000000,480.000000,283.000000,233.000000
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,173892.000000,117496.000000,8254.000000,8093.000000,8093.000000,8063.000000,7534.000000,4084.000000,4075.000000,2915.000000
WJetsToLNu,44587448.000000,50380.000000,41521.000000,46.915176,44587448.000000,42986692.000000,2808210.000000,1066659.000000,919.000000,704.000000,704.000000,702.000000,683.000000,45.000000,42.000000,40.000000
WJetsToLNu_HT100To200,35143084.000000,1345.000000,41521.000000,1.589096,35143084.000000,35111932.000000,4500042.000000,3092248.000000,7016.000000,5372.000000,5372.000000,5367.000000,5043.000000,1969.000000,1476.000000,1442.000000
WJetsToLNu_HT1200To2500,19898142.000000,1.330000,41521.000000,0.002775,19898142.000000,19258268.000000,3220993.000000,2457461.000000,1922.000000,1039.000000,1039.000000,1036.000000,856.000000,735.000000,308.000000,165.000000
WJetsToLNu_HT200To400,21192212.000000,359.700000,41521.000000,0.704745,21192212.000000,21159894.000000,3082872.000000,2200172.000000,3837.000000,2770.000000,2770.000000,2762.000000,2516.000000,1777.000000,1095.000000,971.000000
WJetsToLNu_HT2500ToInf,20629584.000000,0.032200,41521.000000,0.000065,20629584.000000,18944672.000000,3264312.000000,2560532.000000,1793.000000,927.000000,927.000000,922.000000,689.000000,590.000000,231.000000,105.000000
WJetsToLNu_HT400To600,14250114.000000,48.910000,41521.000000,0.142511,14250114.000000,14200063.000000,2266870.000000,1658181.000000,2095.000000,1418.000000,1418.000000,1412.000000,1232.000000,1044.000000,561.000000,345.000000
WJetsToLNu_HT600To800,21582308.000000,12.040000,41521.000000,0.023163,21582308.000000,21431606.000000,3502465.000000,2596921.000000,2710.000000,1681.000000,1681.000000,1678.000000,1385.000000,1181.000000,540.000000,304.000000
WJetsToLNu_HT800To1200,20306678.000000,5.520000,41521.000000,0.011287,20306678.000000,20031644.000000,3320791.000000,2492051.000000,2271.000000,1324.000000,1324.000000,1318.000000,1076.000000,914.000000,387.000000,224.000000
