Sample name,Number used for scaling,xsec,luminosity,net weight,initial number of events,events passing metFilter,events passing single ele trg,Good ele,Good tau,opposite charge selection,delta R cut,third lepton veto,bJet veto,Higgs pt cut,Visible mass cut,events after met cut
ZTT4jet,4336026.000000,63.775519,41521.000000,0.540000,4336026.000000,4327771.000000,1214709.000000,1148504.000000,37870.000000,4534.751953,4534.751953,4451.905273,3709.819824,1971.362915,1126.824585,717.309875
EWKWMinus2Jets,4375628.000000,20.250000,41521.000000,0.192155,4375628.000000,4369211.000000,992317.000000,886362.000000,30199.000000,4687.538086,4687.538086,4635.784180,4164.514160,2967.254639,910.618164,609.195679
EWKWPlus2Jets,4354695.000000,25.620000,41521.000000,0.244281,4354695.000000,4347862.000000,933383.000000,829225.000000,26731.000000,3866.287354,3866.287354,3816.479492,3374.424805,2378.827393,699.678040,465.379944
EWKZ2Jets_ZToLL,951316.000000,3.987000,41521.000000,0.174016,951316.000000,949653.000000,306615.000000,293220.000000,10564.000000,1262.821411,1262.821411,1238.026733,1080.210571,519.604675,237.290833,150.165619
EWKZ2Jets_ZToNuNu,2943056.000000,10.010000,41521.000000,0.141222,2943056.000000,2939465.000000,484.000000,124.000000,2.000000,0.194780,0.194780,0.194780,0.194780,0.194780,0.194780,0.194780
GluGluHToTauTau,2862720.000000,2.767578,41521.000000,0.040141,2862720.000000,2859674.000000,195833.000000,153757.000000,13731.000000,2806.721680,2806.721680,2732.790039,2547.691895,706.102844,70.186813,67.130646
ST_t-channel_antitop,3939990.000000,25.499250,41521.000000,0.268720,3939990.000000,3936452.000000,249717.000000,216586.000000,6212.000000,899.672546,899.672546,882.920898,262.771759,187.768555,47.611702,37.988995
ST_t-channel_top,5796010.000000,42.846300,41521.000000,0.306939,5796010.000000,5790561.000000,353028.000000,305817.000000,7832.000000,1066.322998,1066.322998,1046.013184,304.140289,219.464752,54.426498,42.706963
ST_tW_antitop,7721566.000000,35.600000,41521.000000,0.191431,7721566.000000,7710690.000000,1044328.000000,939137.000000,47426.000000,7449.482910,7449.482910,6865.140625,2134.175537,1490.055786,649.664673,457.146606
ST_tW_top,7523294.000000,35.600000,41521.000000,0.196476,7523294.000000,7512649.000000,1019543.000000,917635.000000,46056.000000,7220.329590,7220.329590,6658.661133,2055.328369,1439.881470,649.111633,445.086731
VBFHToTauTau,2971508.000000,0.237131,41521.000000,0.003313,2971508.000000,2965823.000000,266723.000000,221491.000000,20005.000000,3744.954590,3744.954590,3594.265137,3269.230713,783.142883,285.985016,270.619751
WWTo2L2Nu,15934.000000,12.178000,41521.000000,31.733572,15934.000000,15915.000000,4744.000000,4177.000000,156.000000,30.123602,30.123602,23.541893,22.127287,17.641951,4.740671,2.033303
WWToLNuQQ,9956583.000000,10.710000,41521.000000,0.044663,9956583.000000,9946013.000000,1673019.000000,1467648.000000,59806.000000,9881.855469,9881.855469,9781.592773,9025.287109,6532.243164,1755.080322,1302.761353
WWW,210490.000000,0.208600,41521.000000,0.041148,210490.000000,209914.000000,37488.000000,33856.000000,2146.000000,290.760590,290.760590,244.971786,217.395889,153.823761,74.775818,47.780190
WWZ,221622.000000,0.165100,41521.000000,0.030932,221622.000000,220847.000000,35415.000000,32516.000000,2008.000000,274.890076,274.890076,234.139618,190.843979,135.855560,80.273216,49.541786
WZTo1L1Nu2Q,11263154.000000,10.710000,41521.000000,0.039482,11263154.000000,11248929.000000,1922137.000000,1691252.000000,64903.000000,7836.324219,7836.324219,7737.024902,6219.532227,4363.333496,1503.912842,1047.940918
WZTo2L2Q,16664610.000000,5.595000,41521.000000,0.013940,16664610.000000,16643809.000000,2778619.000000,2589817.000000,108964.000000,12911.789062,12911.789062,12669.387695,11330.474609,5744.969727,2618.169678,1724.442993
WZTo3LNu,6820606.000000,4.430000,41521.000000,0.026968,6820606.000000,6813277.000000,1413645.000000,1254467.000000,44789.000000,5319.244141,5319.244141,3942.685303,3650.568115,2665.083496,1083.402710,650.298218
WZZ,219660.000000,0.055650,41521.000000,0.010519,219660.000000,218984.000000,26595.000000,24513.000000,1386.000000,156.903152,156.903152,136.072495,107.603516,73.962502,47.686028,28.024797
